system:index,Air_Temperature_K,EVI,Fpar_500m,Humidity,LST_Day_1km,LST_Night_1km,Lai_500m,Unnamed: 8,NDWI,Rain_mm,SoilMoisture,Surface_Temperature_K,Transpiration_mm_hr,Wind_Speed_m_s,b10,ro,surface_net_solar_radiation,tmmn,tmmx,vap,vpd,.geo
0,299.82545659748865,44351.00169151923,1368.9975266190354,0.01066695351064524,493011.21153440885,490647.8776429994,543.6288377177978,nan,-5.328823265232878,832.511467726735,24.369272171180405,300.5321737664453,25.118936783886753,2.61369361035512,73.6904756128207,114.81183860748087,1.0776340508862714E11,2440.440169438119,3955.914314146176,20754.554434931553,2519.8574255578005,"{""type"":""MultiPoint"""
1, 299.82545659748865, 52553.59676584146, 1384.580617891994, 0.01066695351064524, 558363.7214442847, 507668.7464080563, 355.9377885826599,nan, -8.491691189715738, 798.650550413358, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 45.12167729306838, 1.0451305304536241E11, 2463.9624294318437, 3937.5789106842694, 20747.904935962877, 2507.17811542577,"""coordinates"":}"
2, 299.82545659748865, 51282.72334448591, 1349.8383088413564, 0.01066695351064524, 607460.0807421702, 574174.5776192397, 344.5870104760502,nan, -7.772774355853011, 838.8149425037186, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 113.05221857624403, 1.0547398472654321E11, 2487.001864725566, 3960.6285511395413, 21144.029306152188, 2545.2679758202758,"{""type"":""MultiPoint"""
3, 299.82545659748865, 52581.57468605973, 1377.9721190252606, 0.01066695351064524, 553330.8140512358, 502239.92596696684, 350.49133982052075,nan, -7.414280080108742, 935.1706965515777, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 153.60837245381498, 1.0303077069186298E11, 2503.266747575785, 3976.8038749921366, 20593.301188803565, 2631.9963143721648,"""coordinates"":}"
4, 299.82545659748865, 49529.95656724754, 1393.1468131531187, 0.01066695351064524, 619096.5568136126, 549371.1210500537, 348.42297795554714,nan, -11.5494985843676, 749.5329732222419, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 122.05858726244877, 1.0758987194706973E11, 2498.258117965732, 3971.8595356341534, 20980.39952915309, 2597.843163612008,"{""type"":""MultiPoint"""
5, 299.82545659748865, 51841.165706280924, 1442.2410820942848, 0.01066695351064524, 594937.3300796782, 524909.0787107958, 379.0618585552183,nan, -7.830147768438309, 1076.0266538583844, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 315.3587901910967, 1.058695328718489E11, 2458.730782519935, 3932.5001003165753, 20854.205250089373, 2545.6388034036686,"""coordinates"":}"
6, 299.82545659748865, 54479.241079352694, 1499.8800141023146, 0.01066695351064524, 570618.5825593463, 520012.65626743075, 379.76860427516823,nan, -6.644181210589519, 1249.8317011888398, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 562.6401565594368, 1.03163523870754E11, 2450.295326619134, 3923.8853296629068, 20885.569069524307, 2461.030655730522,"{""type"":""MultiPoint"""
7, 299.82545659748865, 57266.09712492409, 1505.838565883161, 0.01066695351064524, 575129.3805709609, 492438.1423335638, 383.44990528998073,nan, -9.885955981746736, 1038.466715298198, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 290.66837577484546, 1.0560089389801219E11, 2482.6705910867045, 3956.3139494291217, 21069.29411745416, 2534.9990925300363,"""coordinates"":}"
8, 299.82545659748865, 53256.67156354629, 1403.5490759727345, 0.01066695351064524, 565369.5943323076, 510542.1228718504, 353.39189962411024,nan, -8.924935829873146, 834.9847167206583, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 205.94776472917061, 1.0413832258667397E11, 2463.9094026587923, 3937.5368677559277, 20645.576801502302, 2522.1867274468814,"{""type"":""MultiPoint"""
9, 299.82545659748865, 56210.03245993819, 1491.9068182391982, 0.01066695351064524, 597231.4291465409, 551018.6638834409, 398.51945684785267,nan, -8.452350289474213, 953.6477708572345, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 133.75591234269447, 1.0588598210704276E11, 2598.3949050510405, 4072.0831205518994, 22020.211949686098, 2721.346366140279,"""coordinates"":}"
10, 299.82545659748865, 59181.62258222907, 1582.2127031580867, 0.01066695351064524, 581072.947785896, 516121.9792590656, 408.02448954387415,nan, -6.3923522249768485, 1289.8815080600577, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 503.74083653586206, 1.0127657485092006E11, 2573.962767795307, 4047.6902996409726, 21751.467586120954, 2717.5231728298045,"{""type"":""MultiPoint"""
11, 299.82545659748865, 57094.82205629005, 1527.4626734233689, 0.01066695351064524, 561482.3936386473, 515995.1935758043, 389.76073940432514,nan, -8.868950201547948, 909.3160512367583, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 272.4919151998537, 1.0371828651322446E11, 2462.78303567782, 3936.424011464411, 20528.130715324278, 2541.4838347224127,"""coordinates"":}"
12, 299.82545659748865, 55031.26886450876, 1433.87280385155, 0.01066695351064524, 582517.1983188557, 516317.9669870543, 362.2310267405608,nan, -7.443648152028086, 1046.43532281719, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 422.3288851206829, 1.0336147531651729E11, 2464.519021542278, 3938.2596437315865, 20857.835129342817, 2541.6497338853324,"{""type"":""MultiPoint"""
13, 299.82545659748865, 55181.15602193071, 1539.4499515270868, 0.01066695351064524, 541753.93359371, 491899.89018003625, 402.42343941402964,nan, -4.355681251213018, 1331.4578268187636, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 579.5565897254963, 9.636007815813222E10, 2410.4566896247056, 3884.1704230974397, 20237.94286814766, 2479.7014563938956,"""coordinates"":}"
, 299.82545659748865, 57552.86544402682, 1590.2662116570416, 0.01066695351064524, 612856.4845099585, 543664.2397795607, 406.63076324989635,, -6.392090947201224, 771.7232354177679, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 233.09555473871336, 1.0389896535225069E11, 2536.808059966952, 4010.3797022461094, 21096.450689709956, 2646.4714050073703,"{""type"":""MultiPoint"""
, 299.82545659748865, 61538.1616068658, 1711.4750226850804, 0.01066695351064524, 619284.4884632967, 554154.2433697915, 441.5751488332883,, -5.705231677816844, 954.4188595804932, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 248.17650260957245, 1.0282569429591086E11, 2503.9520367543246, 3977.6004100309387, 21155.08752464312, 2563.52166405665,"""coordinates"":}"
, 299.82545659748865, 58237.181590582615, 1511.124926879974, 0.01066695351064524, 546503.0843300149, 500758.57818357565, 399.46241790252,, -6.608089219643617, 1101.6150117004136, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 356.4766339899974, 1.0133569921685608E11, 2468.9359974314193, 3864.9767861790283, 20586.85853962326, 2432.5251717082824,"{""type"":""MultiPoint"""
, 299.82545659748865, 61881.268300470496, 1667.9366442142928, 0.01066695351064524, 574926.2698140139, 516227.3693674033, 436.65640415854153,, -9.062943912492214, 943.257608659163, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 174.44490801730606, 1.056217049516528E11, 2476.3957746600663, 3912.562611104706, 20470.138323881503, 2490.8263444134686,"""coordinates"":}"
, 299.82545659748865, 55963.73339194338, 1495.7561619308635, 0.01066695351064524, 586966.2775877261, 536039.5318924704, 379.6521022825611,, -9.952707879541153, 977.8009567468962, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 264.8677627854442, 1.0213260919656935E11, 2467.236606396233, 3882.7679905770997, 20309.597261312898, 2299.9613198381476,"{""type"":""MultiPoint"""
, 299.82545659748865, 57062.67325059377, 1537.3310263451096, 0.01066695351064524, 564790.4782471055, 502575.93007264286, 412.467573948189,, -8.263016023467353, 1112.7150247976163, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 791.5602717759248, 9.780726302963747E10, 2529.8513123583753, 4003.4536667122793, 24083.091770433937, 2402.1219819692537,"""coordinates"":}"
, 299.82545659748865, 71969.17723120905, 1858.236366822077, 0.01066695351064524, 566658.1534688519, 484555.7895367291, 505.7509642109582,, -8.156674191824795, 1257.248987588033, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 318.1860337272364, 9.906157885577203E10, 2475.777148153418, 3944.700712590491, 21144.789885525817, 2493.7804164166228,"{""type"":""MultiPoint"""
, 299.82545659748865, 63652.01996523358, 1709.9896942966823, 0.01066695351064524, 547433.0990865383, 495796.6791986364, 460.1357515339612,, -6.669551878208963, 1129.7844599124994, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 296.6574196550722, 9.81856672280133E10, 2488.7766189946797, 3957.7105743205643, 23744.095187159735, 2232.2588230138444,"""coordinates"":}"
, 299.82545659748865, 59871.5681781527, 1577.4844361947683, 0.01066695351064524, 532917.5937736351, 504548.88531833544, 401.23117761953694,, -6.036529325414365, 1505.6685134727543, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 880.6824045926808, 1.0103602521115619E11, 2499.6012215070405, 3964.3759423869865, 22642.03858685101, 2431.1099240068393,"{""type"":""MultiPoint"""
, 299.82545659748865, 61241.979677025425, 1727.52146451165, 0.01066695351064524, 572195.1190836707, 540607.8253564524, 428.5791580770603,, -2.035129150059244, 1139.2457190172902, 24.369272171180405, 300.5321737664453, 25.118936783886753, 2.61369361035512, 73.6904756128207, 419.47160116874, 1.0122580284505922E11, 2466.0292799178146, 3930.8040007977647, 23101.304145533883, 2248.6407372925178,"""coordinates"":}"
,300.47134777803865,42067.325044080506,1234.8750683296091,0.010788621558570032,493368.98615322483,481721.1707190878,463.50070731888746,,-1.4540577766302558,655.3516675101883,23.955512793685728,301.33330748185455,22.73977318336301,2.9455201709267183,75.97742379686187,29.444856601108587,1.0647424024544041E11,2441.262077139779,4143.83528173682,21561.57894920654,2707.374931966844,"{""type"":""MultiPoint"""
, 300.47134777803865, 47987.18461253166, 1216.7764554128134, 0.010788621558570032, 567318.3428333, 512696.1767121854, 267.42293692293566,, -2.7733673300516894, 601.4917743422463, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 24.832655603134516, 1.0452668922592679E11, 2450.323395831622, 4108.910892258049, 21421.097566877943, 2675.5119446277386,"""coordinates"":}"
